ts,open,high,low,close,volume
2025-05-21 19:37:51,0.8338,0.8338,0.8338,0.8338,12.632
2025-05-21 19:37:52,0.8339,0.834,0.8339,0.834,1578.993
2025-05-21 19:37:53,0.8339,0.834,0.8334,0.8338,20945.528
2025-05-21 19:37:54,0.8338,0.8338,0.8338,0.8338,71.959
2025-05-21 19:37:55,0.8336,0.8336,0.8336,0.8336,3.467
2025-05-21 19:37:57,0.8336,0.8337,0.8336,0.8337,442.17999999999995
2025-05-21 19:37:59,0.8338,0.8338,0.8338,0.8338,1.699
2025-05-21 19:38:00,0.8325,0.8325,0.831,0.831,51416.734
2025-05-21 19:38:01,0.8339,0.834,0.8332,0.8332,11226.849
2025-05-21 19:38:02,0.8331,0.8331,0.8328,0.8328,964.322
2025-05-21 19:38:03,0.8328,0.8328,0.8327,0.8327,58.383
2025-05-21 19:38:04,0.8328,0.8328,0.8328,0.8328,92.269
2025-05-21 19:38:05,0.8328,0.8329,0.8328,0.8329,773.998
2025-05-21 19:38:06,0.8331,0.8332,0.8331,0.8331,2466.415
2025-05-21 19:38:07,0.8332,0.8335,0.8332,0.8335,1397.106
2025-05-21 19:38:08,0.8335,0.8335,0.8333,0.8333,1607.341
2025-05-21 19:38:09,0.8332,0.834,0.8332,0.8338,5922.053
2025-05-21 19:38:10,0.8336,0.8337,0.8336,0.8337,349.49100000000004
2025-05-21 19:38:11,0.8335,0.8335,0.8335,0.8335,82.739
2025-05-21 19:38:14,0.8336,0.8338,0.8336,0.8338,125.59100000000001
2025-05-21 19:38:15,0.8336,0.8336,0.8336,0.8336,6.9
2025-05-21 19:38:16,0.8336,0.8336,0.8334,0.8334,2382.732
2025-05-21 19:38:17,0.8334,0.8334,0.8331,0.8331,1600.504
2025-05-21 19:38:19,0.8331,0.8331,0.8331,0.8331,372.448
2025-05-21 19:38:20,0.833,0.833,0.8328,0.8328,580.962
2025-05-21 19:38:21,0.8327,0.8327,0.8327,0.8327,12.29
2025-05-21 19:38:22,0.8327,0.8327,0.8326,0.8326,5146.722
2025-05-21 19:38:24,0.8318,0.8325,0.8313,0.8318,19274.137
2025-05-21 19:38:25,0.8321,0.8322,0.8321,0.8322,1283.058
2025-05-21 19:38:26,0.8321,0.8324,0.8319,0.8324,2473.014
2025-05-21 19:38:28,0.8321,0.8324,0.8321,0.8323,4461.564
2025-05-21 19:38:29,0.8321,0.8321,0.832,0.8321,5183.457
2025-05-21 19:38:30,0.8319,0.8319,0.8318,0.8318,7.09
2025-05-21 19:38:31,0.8317,0.8317,0.8315,0.8315,77.348
2025-05-21 19:38:32,0.8316,0.8316,0.8316,0.8316,2.479
2025-05-21 19:38:33,0.8315,0.8315,0.8315,0.8315,35.408
2025-05-21 19:38:34,0.8315,0.8315,0.8315,0.8315,50.0
2025-05-21 19:38:35,0.8314,0.8314,0.8313,0.8313,26.945
2025-05-21 19:38:36,0.8313,0.8313,0.8313,0.8313,24.975
2025-05-21 19:38:40,0.8313,0.8313,0.8313,0.8313,10.0
2025-05-21 19:38:42,0.8314,0.8318,0.8314,0.8318,2884.674
2025-05-21 19:38:43,0.8316,0.8316,0.8316,0.8316,49.96
2025-05-21 19:38:44,0.8318,0.8319,0.8318,0.8319,128.049
2025-05-21 19:38:45,0.8318,0.8318,0.8318,0.8318,48.015
2025-05-21 19:38:46,0.8317,0.8317,0.8317,0.8317,20.043
2025-05-21 19:38:47,0.8316,0.8316,0.8316,0.8316,1.004
2025-05-21 19:38:48,0.8316,0.8316,0.8316,0.8316,189.868
2025-05-21 19:38:50,0.8316,0.8316,0.8315,0.8315,1171.292
2025-05-24 12:17:23,0.771,0.7712,0.771,0.7712,149.029
2025-05-24 12:17:24,0.7713,0.7713,0.771,0.771,2847.455
2025-05-24 12:17:25,0.771,0.7713,0.771,0.7713,347.59999999999997
2025-05-24 12:17:26,0.7713,0.7716,0.7713,0.7716,3102.803
2025-05-24 12:17:27,0.7718,0.7718,0.77,0.7701,62198.062
2025-05-24 12:17:28,0.7702,0.7704,0.77,0.7701,8115.877
2025-05-24 12:17:29,0.7703,0.7713,0.77,0.7703,67007.015
2025-05-24 12:17:30,0.7702,0.7703,0.7702,0.7703,114.546
2025-05-24 12:17:31,0.77,0.77,0.7695,0.7697,57776.886
2025-05-24 12:17:32,0.7698,0.77,0.7697,0.7699,4595.805
2025-05-24 12:17:33,0.7698,0.77,0.7698,0.77,85.141
2025-05-24 12:17:34,0.7702,0.7703,0.7701,0.7701,392.853
2025-05-24 12:17:35,0.7703,0.7704,0.7703,0.7704,1652.0529999999999
2025-05-24 12:17:36,0.7702,0.7702,0.7701,0.7702,2400.633
2025-05-24 12:17:37,0.7701,0.7701,0.7698,0.77,6961.398
2025-05-24 12:17:38,0.7701,0.7703,0.7701,0.7701,2576.218
2025-05-24 12:17:39,0.7701,0.7701,0.7696,0.7696,17609.849
2025-05-24 12:17:40,0.7699,0.7706,0.7697,0.7697,20169.04
2025-05-24 12:17:41,0.7697,0.7703,0.7692,0.7698,78492.458
2025-05-24 12:17:42,0.7698,0.7703,0.7698,0.7703,2629.216
2025-05-24 12:17:43,0.7702,0.7703,0.7698,0.7698,7382.9169999999995
2025-05-24 12:17:44,0.7697,0.77,0.7697,0.77,5033.536
2025-05-24 12:17:45,0.7698,0.7698,0.7693,0.7694,9693.033
2025-05-24 12:17:46,0.7696,0.7698,0.7696,0.7698,1581.326
2025-05-24 12:17:48,0.7698,0.7699,0.7698,0.7699,4399.91
2025-05-24 12:17:51,0.77,0.77,0.7698,0.7698,6489.826
2025-05-24 12:17:52,0.7697,0.7697,0.7697,0.7697,500.0
2025-05-24 12:17:53,0.7697,0.7699,0.7697,0.7697,4980.522
2025-05-24 12:17:54,0.7697,0.7697,0.7697,0.7697,568.222
2025-05-24 12:17:55,0.7697,0.7697,0.7697,0.7697,21.072000000000003
2025-05-24 12:17:56,0.7698,0.77,0.7697,0.7699,2600.171
2025-05-24 12:17:57,0.7699,0.7699,0.7698,0.7698,1982.745
2025-05-24 12:17:58,0.7699,0.7699,0.7699,0.7699,200.0
2025-05-24 12:17:59,0.7701,0.7701,0.7701,0.7701,188.526
2025-05-24 12:18:00,0.7699,0.7699,0.7696,0.7697,2428.253
2025-05-24 12:18:01,0.7697,0.7702,0.7697,0.7702,4489.99
2025-05-24 12:18:02,0.7699,0.7701,0.7699,0.7701,1138.675
2025-05-24 12:18:03,0.7701,0.7701,0.77,0.77,2061.858
2025-05-24 12:18:04,0.77,0.7701,0.77,0.77,2005.857
2025-05-24 12:18:05,0.7702,0.7704,0.7698,0.7698,2629.445
2025-05-24 12:18:06,0.77,0.77,0.77,0.77,134.266
2025-05-24 12:18:10,0.77,0.77,0.77,0.77,75.974
2025-05-24 12:18:11,0.7699,0.7699,0.7697,0.7697,230.0
2025-05-24 12:18:12,0.7698,0.7698,0.7698,0.7698,472.564
2025-05-24 12:18:13,0.77,0.77,0.77,0.77,279.072
2025-05-24 12:18:14,0.77,0.77,0.77,0.77,2744.8869999999997
2025-05-24 12:18:15,0.77,0.77,0.77,0.77,54.351
2025-05-24 12:18:16,0.77,0.77,0.77,0.77,1400.129
2025-05-24 12:18:18,0.7699,0.77,0.7699,0.77,43.586
2025-05-24 12:18:19,0.7699,0.7699,0.7698,0.7698,1870.326
2025-05-24 12:18:21,0.7699,0.7699,0.7699,0.7699,327.913
2025-05-24 12:18:22,0.7697,0.7697,0.7695,0.7695,669.061
2025-05-24 12:18:23,0.7694,0.7694,0.7692,0.7692,900.0
2025-05-24 12:18:24,0.7695,0.7696,0.7695,0.7696,262.727
2025-05-24 12:18:25,0.7694,0.7694,0.7694,0.7694,154.167
2025-05-24 12:18:26,0.7694,0.7697,0.7694,0.7697,2152.984
2025-05-24 12:18:27,0.7697,0.7697,0.7697,0.7697,6.238
2025-05-24 12:18:28,0.7698,0.7699,0.7697,0.7699,1024.192
2025-05-24 12:18:29,0.77,0.7701,0.77,0.7701,21905.037
2025-05-24 12:18:30,0.7702,0.7704,0.7702,0.7704,371.721
2025-05-24 12:18:31,0.77,0.77,0.7699,0.7699,96.0
2025-05-24 12:18:33,0.7703,0.7703,0.7703,0.7703,99.604
