ts,price,size,side,trade_id
'2025-05-21 19:37:01.985,0.22806,573.599014,buy,349240317
'2025-05-21 19:37:01.989,0.22807,1145.01745,buy,349240322
'2025-05-21 19:37:01.990,0.22808,14.398017,buy,349240323
'2025-05-21 19:37:01.992,0.22809,1507,buy,349240331
'2025-05-21 19:37:01.992,0.22809,221.719739,buy,349240332
'2025-05-21 19:37:01.993,0.2281,118.652534,buy,349240337
'2025-05-21 19:37:02.626,0.22807,15902,buy,349240338
'2025-05-21 19:37:03.586,0.22805,10,sell,349240339
'2025-05-21 19:37:05.572,0.22805,10,buy,349240340
'2025-05-21 19:37:05.831,0.22808,832.972423,buy,349240341
'2025-05-21 19:37:05.831,0.22809,690.786741,buy,349240343
'2025-05-21 19:37:06.399,0.2281,10,buy,349240344
'2025-05-21 19:37:06.752,0.22811,451.014524,buy,349240349
'2025-05-21 19:37:06.865,0.22812,160.505577,buy,349240355
'2025-05-21 19:37:06.867,0.22813,999.16957,buy,349240359
'2025-05-21 19:37:06.872,0.22813,0.000002,buy,349240360
'2025-05-21 19:37:06.949,0.22815,280.513772,buy,349240366
'2025-05-21 19:37:06.949,0.22816,25.687771,buy,349240368
'2025-05-21 19:37:07.284,0.22816,57,sell,349240369
'2025-05-21 19:37:07.382,0.22817,90.837426,buy,349240373
'2025-05-21 19:37:07.382,0.22818,301.762385,buy,349240378
'2025-05-21 19:37:07.383,0.22819,11.244282,buy,349240379
'2025-05-21 19:37:07.383,0.2282,202.461673,buy,349240384
'2025-05-21 19:37:07.383,0.22821,227.905533,buy,349240389
'2025-05-21 19:37:07.383,0.22822,849.645662,buy,349240393
'2025-05-21 19:37:07.383,0.22823,8718.764442,buy,349240396
'2025-05-21 19:37:07.387,0.22824,1314.018253,buy,349240397
'2025-05-21 19:37:07.387,0.22825,1666.122733,buy,349240402
'2025-05-21 19:37:07.388,0.22825,903.254446,buy,349240403
'2025-05-21 19:37:07.392,0.22826,4733.457055,buy,349240408
'2025-05-21 19:37:07.393,0.22827,1144.071024,buy,349240411
'2025-05-21 19:37:07.394,0.22828,4330.689846,buy,349240418
'2025-05-21 19:37:07.394,0.22828,12316.195319,buy,349240420
'2025-05-21 19:37:07.395,0.22828,422.518279,buy,349240421
'2025-05-21 19:37:07.396,0.22829,37.194992,buy,349240424
'2025-05-21 19:37:07.397,0.2283,8330.235854,buy,349240429
'2025-05-21 19:37:07.398,0.22831,10023.710007,buy,349240434
'2025-05-21 19:37:07.399,0.22831,1544.132578,buy,349240435
'2025-05-21 19:37:07.399,0.22832,28840.801182,buy,349240439
'2025-05-21 19:37:07.400,0.22832,20,buy,349240440
'2025-05-21 19:37:07.403,0.22832,2189.768438,buy,349240441
